event,coverage,direct_faithfulness,direct_clarity,direct_node_count,ti_faithfulness,ti_clarity,ti_edge_total,ti_node_total,ti_edges_rated,ti_correct_drawn,ti_wrong_direction,ti_wrong_connection,ti_omitted,ti_render_other,ti_additions,n_triplets_rated,n_correct
slv-125182,5,4,3,17,4,3,12,8,12,8,0,4,0,0,0,12,9
slv-125164,3,4,2,16,2,2,11,8,11,6,1,3,1,0,0,11,8
slv-125162,3,5,5,17,2,2,12,8,12,9,2,1,0,0,0,12,7
eng-11688905,4,5,5,15,3,2,10,8,10,7,0,3,0,0,1,10,8
eng-11687250,3,3,3,18,3,2,11,8,11,9,0,2,0,0,1,11,7
slv-125190,4,3,3,11,3,3,12,8,12,11,0,1,0,0,0,12,4
slv-125180,4,4,3,40,3,2,12,8,12,9,0,3,0,0,0,12,9
slv-125152,3,4,4,18,4,4,11,8,11,11,0,0,0,0,0,12,10
slv-125151,4,4,4,13,4,5,11,8,11,11,0,0,0,0,0,11,11
eng-11686783,4,5,4,19,3,3,12,8,12,11,0,0,1,0,0,12,7
